::1 - - [21/May/2022:17:10:25 +0000] "GET /products HTTP/1.1" 200 9276
::1 - - [21/May/2022:17:10:26 +0000] "GET /category HTTP/1.1" 200 9276
::1 - - [21/May/2022:17:10:29 +0000] "GET /category/ HTTP/1.1" 200 9276
::1 - - [21/May/2022:17:10:29 +0000] "GET /category/css/bootstrap.min.css HTTP/1.1" 404 169
::1 - - [21/May/2022:17:10:29 +0000] "GET /category/css/styles.css HTTP/1.1" 404 162
::1 - - [21/May/2022:17:10:29 +0000] "GET /category/js/bootstrap.min.js HTTP/1.1" 404 167
::1 - - [21/May/2022:17:10:35 +0000] "GET /products/ HTTP/1.1" 200 9276
::1 - - [21/May/2022:17:10:35 +0000] "GET /products/css/bootstrap.min.css HTTP/1.1" 404 169
::1 - - [21/May/2022:17:10:35 +0000] "GET /products/css/styles.css HTTP/1.1" 404 162
::1 - - [21/May/2022:17:10:35 +0000] "GET /products/css/bootstrap.min.css HTTP/1.1" 404 169
::1 - - [21/May/2022:17:10:35 +0000] "GET /products/js/bootstrap.min.js HTTP/1.1" 404 167
::1 - - [21/May/2022:17:10:59 +0000] "GET /products/ HTTP/1.1" 200 9278
::1 - - [21/May/2022:17:10:59 +0000] "GET /products/js/bootstrap.min.js HTTP/1.1" 404 167
::1 - - [21/May/2022:17:10:59 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [21/May/2022:17:10:59 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [21/May/2022:17:11:04 +0000] "GET /category/ HTTP/1.1" 200 9278
::1 - - [21/May/2022:17:11:04 +0000] "GET /category/js/bootstrap.min.js HTTP/1.1" 404 167
::1 - - [21/May/2022:17:11:04 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [21/May/2022:17:11:04 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [21/May/2022:17:11:09 +0000] "GET / HTTP/1.1" 304 -
::1 - - [21/May/2022:17:11:09 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [21/May/2022:17:11:09 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [21/May/2022:17:11:16 +0000] "GET /category/ HTTP/1.1" 304 -
::1 - - [21/May/2022:17:11:16 +0000] "GET /category/js/bootstrap.min.js HTTP/1.1" 404 167
::1 - - [21/May/2022:17:11:16 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [21/May/2022:17:11:16 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [21/May/2022:17:11:19 +0000] "GET /products/ HTTP/1.1" 304 -
::1 - - [21/May/2022:17:11:19 +0000] "GET /products/js/bootstrap.min.js HTTP/1.1" 404 167
::1 - - [21/May/2022:17:11:19 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [21/May/2022:17:11:19 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
